region,body,type,aphelion_apogee,perihelion_perogee,semi_major_axis,eccentricity,orbital_period,mean_anomaly,inclination,longitude_of_ascending_node,argument_of_perihelion,mass,D,R,C,SG,EV,RP,AT,TH,HE,HP,LB,Unnamed: 24,Unnamed: 25
,The Sun,Star,,,,,,,,,,,1391400.0,695700.0,4371212.018204838,,,,,,,,,,
Inner Solar System,Mercury,Rocky Planet,69820000.0,46000000.0,57910000.0,0.20563,97.9691,174.796,7.005,48.331,29.124,330110000000000013107200,4879.4,2439.7,15329.087193926036,3.7,4.25,176.0,2.04,1353.0,61.0,5.0,41.0,,
Inner Solar System,Venus,Rocky Planet,108940000.0,107480000.0,108210000.0,0.006772,224.701,50.115,3.39458,76.68,54.884,4867500000000000349175808,12103.6,6051.8,38024.580841989424,8.87,10.36,-243.0226,2.64,7929.0,152.0,5.0,101.0,,
Inner Solar System,Earth,Rocky Planet,152097597.0,147098450.0,149598023.0,0.0167086,365.256363004,358.617,7.155,-11.2606,114.2078,5972000000000000327155712,12742.0,6371.0,40030.173592041145,9.8065,11.186,0.9972,23.4392,8828.0,160.0,5.0,107.0,,
Earth Orbit,Luna (E I),Rocky Moon,405450.0,362600.0,384399.0,0.0549,27.3216,,5.145,0.0,0.0,73460000000000003145728,3468.8,1734.4,10897.556596772274,1.622,2.38,27.3216,1.5424,711.0,44.0,5.0,29.0,,
Inner Solar System,Mars,Rocky Planet,249261000.0,206650000.0,227939366.0,0.0934,686.98,19.412,1.85,49.5785,286.5,641710000000000034078720,6779.0,3389.5,21296.856598685208,3.7207,5.027,1.0259,25.19,2565.0,85.0,5.0,57.0,,
Mars Orbit,Phobos (M I),Rocky Moon,9517.58,9234.42,9376.0,0.0151,0.3189,,1.093,,,10600000000000000,22.16,11.08,69.61769320354982,0.0057,11.39,0.0,0.0,0.0,0.0,0.0,0.0,,
Mars Orbit,Deimos (M II),Rocky Moon,23455.5,23470.9,23463.2,0.00033,1.263,,0.93,,,1510000000000000,12.54,6.27,39.395571876016,0.003,0.005556,,,0.0,0.0,0.0,0.0,,
Outer Solar System,Jupiter,Gas Giant Planet,816363000.0,740595000.0,778479000.0,0.0489,4332.59,20.02,1.303,100.464,273.867,1898200000000000130610626560,139822.0,69911.0,439263.7680102321,24.79,59.5,0.4135416666666667,3.13,1031651.0,1757.0,5.0,1171.0,,
Jupiter Orbit,Metis (J XVI),,128026.0,122974.0,128000.0,0.0002,0.2948,,0.06,,,36000000000000000,43.0,21.5,135.0884841043611,0.005197940508382909,0.014950299055887314,,,0.0,1.0,0.0,0.0,,
Jupiter Orbit,Adrastea (J XV),,,,129000.0,0.0015,0.2983,,0.03,,,2000000000000000,16.4,8.2,51.5221195188726,0.0019852171326591316,0.005705923323670741,,,0.0,0.0,0.0,0.0,,
Jupiter Orbit,Amalthea (J V),,182840.0,181150.0,181400.0,0.374,0.4999,,0.374,,,2080000000000000000,167.0,83.5,524.6459731494955,0.01991113915880813,0.05766420240947548,,,,2.0,,1.0,,
Jupiter Orbit,Thebe (J XIV),,226000.0,218000.0,221900.0,0.0175,0.6761,,1.076,,,430000000000000000,98.6,49.3,309.76103564395356,0.011808108652987667,0.03412154031084447,,,,1.0,,1.0,,
Jupiter Orbit,Io (J I),,423400.0,420000.0,421800.0,0.0041,1.7627,,0.05,,,89318999999999996067840,3643.2,1821.6,11445.450355558334,1.7965675065297528,2.5583695471509187,,,791.0,46.0,5.0,31.0,,
Jupiter Orbit,Europa (J II),,676938.0,664862.0,671100.0,0.009,3.5255,,0.47,,,47997999999999996329984,3121.6,1560.8,9806.795627445897,1.31502603854008,2.0260763267721957,,,572.0,39.0,5.0,26.0,,
Jupiter Orbit,Ganymede (J III),,1071600.0,1069200.0,1070400.0,0.0013,7.1556,,0.2,,,148190000000000004718592,5268.2,2634.1,16550.538417641746,1.4254766410525992,2.740382462429889,,,1562.0,66.0,5.0,44.0,,
Jupiter Orbit,Callisto (J IV),,1897000.0,1869000.0,1882700.0,0.0074,16.69,,0.192,,,107589999999999994232832,4820.6,2410.3,15144.361545894957,1.2360482658637448,2.441002718233384,,,1320.0,61.0,5.0,40.0,,
Jupiter Orbit,Leda (J XIII),,,,11145200.0,0.162,240.33,,28.2,,,5200000000000000,21.5,10.75,67.54424205218055,0.0030032545159545698,0.008035544293513865,,,0.0,0.0,0.0,0.0,,
Jupiter Orbit,Himalia (J VI),,,,11439000.0,0.16,249.91,,28.4,,,4200000000000000000,139.6,69.8,438.5663344411351,0.05753659657966683,0.08962203346566898,,,,2.0,,1.0,,
Jupiter Orbit,Lysithia (J X),,,,11699100.0,0.117,258.5,,27.7,,,39000000000000000,42.2,21.1,132.57520998148928,0.005846627434244513,0.015707567530496836,,,0.0,1.0,0.0,0.0,,
Jupiter Orbit,Elara (J VII),,,,11710700.0,0.212,258.89,,27.8,,,270000000000000000,79.9,39.95,251.01325302182448,0.011291091336009812,0.03003594842429957,,,,1.0,,1.0,,
Jupiter Orbit,Ananke (J XII),,,,21029500.0,0.238,623.11,,147.6,,,13000000000000000,29.1,14.55,91.42034621946299,0.00409848254035734,0.010920890161722102,,,0.0,0.0,0.0,0.0,,
